Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Price,Storage Type
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1060,Windows 10,63669.6,SSD
Asus,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,55890.72,SSD
Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,45128.16,SSD
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1 ,AMD Radeon R5 M430,Linux,31962.672,Other
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256,AMD Radeon R5 M430,Linux,25840.8,SSD
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,6,256,Nvidia GeForce 920M,Windows 10,30742.56,SSD
HP,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,128 +  1 ,Nvidia GeForce GTX 1050,Windows 10,66546.72,SSD
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,AMD Radeon 530,Windows 10,38308.32,SSD
HP,Notebook,15.6,Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,4,500 ,AMD Radeon R2,Windows 10,18594.72,Other
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1 ,AMD Radeon 520,Linux,34472.16,Other
HP,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Nvidia GeForce MX150,Windows 10,59620.32,SSD
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10 S,71395.2,SSD
HP,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,256,Nvidia GeForce 940MX,Windows 10,35111.52,SSD
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1 ,Intel HD Graphics 520,Windows 10,22105.872,Other
Asus,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Nvidia GeForce 940MX,Windows 10,63563.04,SSD
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 +  1 ,Nvidia GeForce GTX 1050 Ti,Windows 10,69210.72,SSD
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,78854.4,SSD
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256 +  1 ,Nvidia GeForce MX150,Windows 10,67239.36,SSD
Dell,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7560U 2.4GHz,8,256,Intel Iris Plus Graphics 640,Windows 10,73473.12,SSD
Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,74538.72,SSD
HP,Notebook,14.0,IPS Panel 1366x768 HD Ready,Intel Core i5 8250U 1.6GHz,4,500 ,Intel UHD Graphics 620,Windows 10,38468.16,Other
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,86793.12,SSD
HP,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,74538.1872,SSD
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,512,Intel UHD Graphics 620,Windows 10,57755.52,SSD
Dell,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256 +  1 ,Nvidia GeForce 940MX,Windows 10,60223.98239999999,SSD
Asus,Notebook,17.3,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1 ,Nvidia GeForce 920MX,Windows 10,30049.92,Other
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Nvidia GeForce 940MX,Windows 10,59567.04,SSD
Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,6,1 ,Intel HD Graphics 620,Windows 10,25521.12,Other
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 +  2 ,Nvidia GeForce GTX 1070,Windows 10,119427.12,SSD
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 940MX,No OS,33513.119999999995,SSD
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512,Nvidia GeForce 930MX ,Windows 10,67718.88,SSD
Acer,Notebook,15.6,1366x768 HD Ready,AMD A9-Series 9420 3GHz,4,256,AMD Radeon R5,Windows 10,24029.28,SSD
HP,Notebook,15.6,1366x768 HD Ready,Intel Celeron Dual Core N3060 1.6GHz,4,500 ,Intel HD Graphics 400,No OS,13799.52,Other
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1 ,Intel UHD Graphics 620,Windows 10,43263.36,Other
Asus,Notebook,14.0,1366x768 HD Ready,AMD E-Series 6110 1.5GHz,4,64,AMD Radeon R2,Windows 10 S,14811.3072,SSD
Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256 +  2 ,AMD Radeon 530,Windows 10,74378.87999999999,SSD
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,49443.84,SSD
Dell,Notebook,15.6,1366x768 HD Ready,Intel Core i5 7200U 2.5GHz,8,1 ,AMD Radeon R7 M445,Windows 10,34045.3872,Other
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1 ,AMD Radeon R5 M430,Windows 10,23922.72,Other
Acer,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,47099.52,SSD
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,256,Nvidia GeForce MX130,Windows 10,30476.16,SSD
HP,Notebook,15.6,1366x768 HD Ready,Intel Core i7 7500U 2.7GHz,8,1 ,Intel HD Graphics 620,Windows 10,31861.44,Other
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,52640.64,SSD
Lenovo,Notebook,15.6,1366x768 HD Ready,Intel Celeron Dual Core N3350 1.1GHz,4,1 ,Intel HD Graphics 500,No OS,13445.7408,Other
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128 +  1 ,Nvidia GeForce GTX 1050,Windows 10,49976.64,SSD
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1 ,Nvidia GeForce 920MX,No OS,26586.72,Other
HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256,Intel HD Graphics 620,Windows 10,37242.72,SSD
Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,1 ,Nvidia GeForce MX130,Windows 10,34898.4,Other
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,AMD Radeon RX 550,Windows 10,59461.5456,SSD
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050M,No OS,46300.32,SSD
Toshiba,Notebook,15.6,1366x768 HD Ready,Intel Core i5 6200U 2.3GHz,4,500 ,Intel HD Graphics 520,Windows 10,32074.56,Other
HP,Notebook,15.6,1366x768 HD Ready,AMD A6-Series 9220 2.5GHz,4,256,AMD Radeon R4 Graphics,Windows 10,19660.32,SSD
Asus,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,58554.72,SSD
HP,Ultrabook,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core M 6Y75 1.2GHz,8,512,Intel HD Graphics 515,Windows 10,107305.92,SSD
Asus,Notebook,15.6,Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4,1 ,Intel HD Graphics 500,Windows 10,18328.32,Other
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 +  1 ,Nvidia GeForce GTX 1070,Windows 10,108105.12,SSD
Acer,Notebook,15.6,1366x768 HD Ready,Intel Core i3 6006U 2GHz,4,1 ,Intel HD Graphics 520,Windows 10,23816.16,Other
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1050,Windows 10,66560.5728,SSD
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1.0 ,Nvidia GeForce GTX 1050,Windows 10,47898.72,Other
Lenovo,Notebook,15.6,1366x768 HD Ready,Intel Core i5 7200U 2.5GHz,4,128,Intel HD Graphics 620,Windows 10,26533.44,SSD
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 +  1 ,Nvidia GeForce GTX 1060,Windows 10,100699.2,SSD
HP,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 7500U 2.7GHz,4,256,Intel HD Graphics 620,Windows 10,57648.96,SSD
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,6,256,AMD Radeon 520,Windows 10,32980.32,SSD
Lenovo,2 in 1 Convertible,14.0,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4,256,Intel HD Graphics 620,Windows 10,33513.119999999995,SSD
Asus,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel HD Graphics 620,Windows 10,70063.2,SSD
Dell,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,55890.72,SSD
Toshiba,Notebook,15.6,1366x768 HD Ready,Intel Core i3 6006U 2.2GHz,4,500 ,Intel HD Graphics 520,Windows 10,23816.16,Other
Asus,Notebook,15.6,1366x768 HD Ready,AMD A9-Series 9420 3GHz,4,1 ,AMD Radeon R5 M420,Windows 10,21471.84,Other
Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,256,Nvidia GeForce MX150,Windows 10,42890.4,SSD
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,AMD Radeon 520,Windows 10,38787.84,SSD
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256,Nvidia GeForce GTX 1050 Ti,Windows 10,57489.12,SSD
Acer,Notebook,15.6,1366x768 HD Ready,Intel Celeron Dual Core N3350 1.1GHz,4,1 ,Intel HD Graphics 500,Windows 10,18541.44,Other
MSI,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 +  1 ,Nvidia GeForce GTX 1060,Windows 10,95850.72,SSD
Acer,Notebook,15.6,1366x768 HD Ready,Intel Pentium Quad Core N4200 1.1GHz,4,1 ,Intel HD Graphics 505,Windows 10,19367.8128,Other
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128 +  1 ,Nvidia GeForce GTX 1050,Windows 10,56502.9072,SSD
Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce MX150,Windows 10,45501.12,SSD
HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,500 ,Intel UHD Graphics 620,Windows 10,40173.12,Other
Huawei,Ultrabook,13.0,IPS Panel Full HD 2160x1440,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,71874.72,SSD
HP,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,2 ,AMD Radeon 520,Windows 10,37242.72,Other
Lenovo,Notebook,15.6,1366x768 HD Ready,AMD A6-Series 9220 2.9GHz,4,500 ,AMD Radeon R4 Graphics,No OS,16463.52,Other
Toshiba,Notebook,15.6,1366x768 HD Ready,Intel Core i3 7100U 2.4GHz,4,500 ,Intel HD Graphics 620,Windows 10,26053.92,Other
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Nvidia GeForce 930MX,Windows 10,49177.44,SSD
